# index, id, class, gender, _pos
132,881,PC*,M,"array([-3.44469401,  7.17601639])"
133,882,PC*,M,"array([-3.37620794,  7.299782  ])"
134,883,PC*,M,"array([-3.36853983,  7.35831973])"
135,884,PC*,M,"array([-3.59486519,  7.29148155])"
136,886,PC*,M,"array([-3.40662812,  7.31750891])"
137,887,PC*,M,"array([-3.56683861,  7.28847255])"
138,888,PC*,M,"array([-3.44748071,  7.26927604])"
139,889,PC*,M,"array([-3.46919816,  7.29681188])"
140,890,PC*,M,"array([-3.40776327,  7.27071407])"
141,891,PC*,M,"array([-3.48585685,  7.36315349])"
142,892,PC*,M,"array([-3.57197008,  7.2544798 ])"
143,893,PC*,M,"array([-3.56900104,  7.30969442])"
144,894,PC*,M,"array([-3.46473839,  7.39881454])"
145,895,PC*,F,"array([-3.46610163,  7.22642285])"
146,896,PC*,M,"array([-3.53965711,  7.30636635])"
147,897,PC*,M,"array([-3.4980976 ,  7.19701855])"
148,898,PC*,M,"array([-3.48170991,  7.32723183])"
149,1108,MP*1,M,"array([-3.92375223,  7.46489313])"
150,1144,MP*1,F,"array([-3.89266655,  7.49091933])"
151,1148,MP*1,M,"array([-3.91506982,  7.49686967])"
152,1164,MP*1,M,"array([-3.84996404,  7.45991452])"
153,1170,MP*1,M,"array([-3.8784789 ,  7.39316434])"
154,1181,MP*1,M,"array([-3.80687157,  7.42840666])"
155,1190,MP*1,M,"array([-3.86455791,  7.49397472])"
156,1492,MP*1,M,"array([-3.88892962,  7.42592616])"
157,1601,MP*1,M,"array([-3.95621199,  7.46399352])"
158,1613,MP*1,M,"array([-3.89258254,  7.41103965])"
159,1618,MP*1,M,"array([-4.006903  ,  7.39980272])"
160,1622,MP*1,M,"array([-3.82418757,  7.42127661])"
161,1628,MP*1,M,"array([-3.97359365,  7.40446767])"
162,1629,MP*1,M,"array([-3.96342245,  7.44005952])"
163,1632,MP*1,M,"array([-3.87804962,  7.44889506])"
164,1644,MP*1,M,"array([-3.90188153,  7.46004764])"
165,1645,MP*1,M,"array([-3.83660636,  7.43026309])"
166,1649,MP*1,F,"array([-3.85040103,  7.52834166])"
167,1651,MP*1,M,"array([-3.82329476,  7.46430088])"
168,1657,MP*1,M,"array([-3.83725551,  7.44494536])"
169,1658,MP*1,M,"array([-3.84168882,  7.49001085])"
170,1660,MP*1,F,"array([-3.95266184,  7.5435666 ])"
171,1662,MP*1,F,"array([-3.8879439 ,  7.51792425])"
172,1667,MP*1,M,"array([-3.93616279,  7.43999457])"
173,1671,MP*1,M,"array([-3.86236011,  7.43203877])"
174,1672,MP*1,M,"array([-3.86889835,  7.41012825])"
175,1674,MP*1,M,"array([-3.8134083 ,  7.44738776])"
176,1678,MP*1,M,"array([-3.83556243,  7.40412352])"
177,1679,MP*1,M,"array([-3.94855283,  7.5084413 ])"
178,1686,MP*1,M,"array([-3.87406264,  7.47730904])"
179,1856,MP*1,M,"array([-3.92725943,  7.4180984 ])"
