# index, meta, _pos
56,http://www.google.com/apis/homepage/faq.html,"array([ -3.83342208, -10.63124141])"
57,http://www.google.com/googlecalendar/program_policies.html,"array([ -4.14946522, -10.37641409])"
58,http://www.google.com/dmca.html,"array([ -3.06936748, -10.92427604])"
59,http://www.google.com/help/customize.html,"array([ -2.63032434, -10.52837115])"
60,http://www.google.com/permissions/guidelines.html,"array([ -2.7421823 , -10.77401151])"
61,http://www.google.com/tm_complaint.html,"array([ -2.88740408, -10.67164786])"
62,http://www.google.com/accounts/,"array([ -3.80939548, -10.68912187])"
63,https://www.google.com/accounts/NewAccount,"array([ -3.69323162, -10.56096422])"
64,http://www.google.com/ads/,"array([ -2.97116484, -10.76291524])"
65,http://www.google.com/contact/,"array([ -2.72260511, -10.68728277])"
66,http://www.google.com/corporate/,"array([ -3.21033302, -11.01309544])"
67,http://www.google.com/help/features.html,"array([ -3.02577244, -10.81849159])"
68,http://www.google.com/jobs/,"array([ -2.54878989, -10.81249636])"
69,http://www.google.com/options/,"array([ -2.4845466 , -10.40628631])"
70,http://www.google.com/plex/,"array([ -3.01288204, -11.01032179])"
71,http://www.google.com/press/,"array([ -3.0247982 , -11.00599151])"
72,http://www.google.com/services/,"array([ -2.47343532, -11.16473581])"
73,http://www.google.com/submit_content.html,"array([-2.04477474, -9.74013134])"
74,http://www.google.com/support,"array([ -2.73297285, -10.56173507])"
75,http://www.google.com/webmasters/,"array([ -2.56888872, -10.82257583])"
76,http://www.google.com/help/faq_accounts.html,"array([ -3.5813697, -10.6029033])"
77,http://www.google.com/newsalerts,"array([ -3.55062861, -10.55457547])"
78,http://www.google.com/psearch,"array([ -3.17020409, -10.75497334])"
79,https://www.google.com/accounts/,"array([ -3.4795557 , -10.36709226])"
80,http://www.google.com/accounts/ForgotPasswd,"array([ -3.7773587 , -10.60154538])"
81,http://www.google.com/accounts/Login,"array([ -3.73066383, -10.63148865])"
82,http://www.google.com/accounts/NewAccount,"array([ -3.83660677, -10.72156747])"
83,http://www.google.com/accounts/ManageAccount,"array([ -3.7453212 , -10.65857221])"
84,http://www.google.com/accounts/PasswordHelp,"array([ -3.9058594 , -10.97060299])"
85,http://www.google.com/accounts/TOS,"array([ -3.39351016, -10.57701849])"
86,http://www.google.com/privacy_faq.html,"array([ -2.86638053, -10.74640251])"
87,http://www.google.com/privacypolicy.html,"array([ -2.94858447, -10.71850498])"
88,http://www.google.com/searchcode.html,"array([ -2.66430758, -11.02386083])"
89,http://www.google.com/searchhistory/privacy.html,"array([ -3.13868533, -10.48227387])"
90,http://www.google.com/webmasters/faq.html,"array([ -2.67459276, -10.62010116])"
91,http://www.google.com/accounts/displayunlockcaptcha,"array([ -3.85158478, -10.86395382])"
92,http://www.google.com/accounts/Captcha,"array([ -4.86058661, -10.99702846])"
93,http://www.google.com/addurl.html,"array([ -2.76667201, -10.5006776 ])"
94,http://www.google.com/enterprise/gsa/,"array([ -2.57134841, -11.06058448])"
95,http://www.google.com/enterprise/mini/,"array([ -2.74285479, -11.05726705])"
96,http://www.google.com/remove.html,"array([ -2.9604613 , -10.12148375])"
97,http://www.google.com/sitemap.html,"array([ -2.62976431, -10.79789041])"
98,http://www.google.com/addurl/,"array([ -2.2040089 , -10.38121321])"
99,http://www.google.com/adsense/,"array([ -2.55046183, -11.21988074])"
100,http://www.google.com/ads/800flowers.html,"array([ -4.05307718, -11.49431779])"
101,http://www.google.com/ads/metrics.html,"array([ -3.8018126, -11.3411888])"
102,http://www.google.com/ads/metrics_retail.html,"array([ -4.17183245, -11.60454994])"
103,http://www.google.com/ads/alwaysbrilliant.html,"array([ -4.26578344, -11.57692778])"
104,http://www.google.com/ads/att.html,"array([ -4.07695691, -11.44896482])"
105,http://www.google.com/ads/metrics_telecom.html,"array([ -4.22798888, -11.47060241])"
106,http://www.google.com/ads/autodirect.html,"array([ -3.23656811, -10.94962293])"
107,http://www.google.com/ads/aw_faq.html,"array([ -2.7922796 , -10.84729769])"
108,http://www.google.com/ads/glossary.html,"array([ -2.80455218, -10.83300244])"
109,http://www.google.com/ads/indepth.html,"array([ -3.17111456, -10.94030297])"
110,http://www.google.com/ads/library/,"array([ -2.79022156, -10.82837327])"
111,http://www.google.com/ads/offices.html,"array([ -3.07368741, -10.95817275])"
112,http://www.google.com/ads/preview.html,"array([ -3.18966868, -10.9309632 ])"
113,http://www.google.com/ads/success.html,"array([ -3.37383622, -11.08526308])"
114,http://www.google.com/ads/news/,"array([ -3.14123113, -10.93147028])"
115,http://www.google.com/ads/careerbuilder.html,"array([ -3.11964457, -11.09565646])"
116,http://www.google.com/ads/coldwell.html,"array([ -4.25550885, -11.63181517])"
117,http://www.google.com/ads/metrics_realestate.html,"array([ -4.17443204, -11.56065875])"
118,http://www.google.com/ads/crutchfield.html,"array([ -3.18265982, -10.89073597])"
119,http://www.google.com/ads/cufflinks.html,"array([ -4.11088533, -11.76531301])"
120,http://www.google.com/ads/davisondesign.html,"array([ -4.2288693 , -11.72512182])"
121,http://www.google.com/ads/metrics_manf.html,"array([ -4.14238632, -11.63549103])"
122,http://www.google.com/ads/dentalplans.html,"array([ -4.06630802, -11.81923315])"
123,http://www.google.com/ads/metrics_health.html,"array([ -4.0077323 , -11.77919581])"
124,http://www.google.com/ads/faq.html,"array([ -3.12737146, -10.8784808 ])"
125,http://www.google.com/ads/overview.html,"array([ -3.33370205, -11.09938112])"
126,http://www.google.com/technology/,"array([ -3.05053757, -10.35533294])"
127,http://www.google.com/ads/fordirect.html,"array([ -4.03216892, -11.54205974])"
128,http://www.google.com/ads/metrics_auto.html,"array([ -4.10348316, -11.65288649])"
129,http://www.google.com/ads/forrent.html,"array([ -4.11117833, -11.52687959])"
130,http://www.google.com/ads/gabel.html,"array([ -4.22399955, -11.58641504])"
131,http://www.google.com/ads/georgewashington.html,"array([ -4.09129968, -11.85782886])"
132,http://www.google.com/ads/handson.html,"array([ -3.22512987, -11.0321448 ])"
133,http://www.google.com/ads/harrisdirect.html,"array([ -4.14835921, -11.45465994])"
134,http://www.google.com/ads/metrics_fin.html,"array([ -4.25999091, -11.43621083])"
135,http://www.google.com/ads/hemera.html,"array([ -3.1605279 , -10.92424135])"
136,http://www.google.com/ads/hotwire.html,"array([ -4.28400398, -11.52762201])"
137,http://www.google.com/ads/metrics_trav.html,"array([ -4.23527822, -11.53422921])"
138,http://www.google.com/ads/hunts.html,"array([ -3.142831  , -11.10306451])"
139,http://www.google.com/ads/insurance.html,"array([ -3.16585247, -11.04689915])"
140,http://www.google.com/ads/kingston.html,"array([ -4.06170612, -11.60164064])"
141,http://www.google.com/ads/metrics_tech.html,"array([ -4.04800221, -11.71765583])"
142,http://www.google.com/ads/ligneroset.html,"array([ -4.16675434, -11.77504765])"
143,http://www.google.com/ads/metrics_cpg.html,"array([ -4.25944251, -11.38738454])"
144,http://www.google.com/ads/metrics_ent.html,"array([ -4.18962543, -11.51251922])"
145,http://www.google.com/ads/metrics_entech.html,"array([ -4.09184106, -11.70244691])"
146,http://www.google.com/ads/tips_auto.html,"array([ -4.13464472, -11.7305158 ])"
147,http://www.google.com/ads/testimonials/galgringroup.html,"array([ -4.56417845, -11.46019986])"
148,http://www.google.com/ads/tips_cpg.html,"array([ -4.31382125, -11.38350046])"
149,http://www.google.com/ads/tips_ent.html,"array([ -4.20921433, -11.63471838])"
150,http://www.google.com/ads/perebit.html,"array([ -4.01398787, -11.83903923])"
151,http://www.google.com/ads/smartbear.html,"array([ -4.12448506, -11.81449585])"
152,http://www.google.com/ads/testimonials/savingsbank.html,"array([ -4.6003179 , -11.51388998])"
153,http://www.google.com/ads/tips_fin.html,"array([ -4.33409773, -11.49519377])"
154,http://www.google.com/ads/tips_health.html,"array([ -3.98635031, -11.89038423])"
155,http://www.google.com/ads/surgemarketing.html,"array([ -4.25813346, -11.67817927])"
156,http://www.google.com/ads/tips_bim.html,"array([ -4.15757292, -11.68636388])"
157,http://www.google.com/ads/tips_realestate.html,"array([ -4.3173526 , -11.56203453])"
158,http://www.google.com/ads/testimonials/tekimports.html,"array([ -4.54439018, -11.57127594])"
159,http://www.google.com/ads/tips_retail.html,"array([ -4.18349639, -11.73154398])"
160,http://www.google.com/ads/tips_techcom.html,"array([ -4.04187553, -11.87909057])"
161,http://www.google.com/ads/talkamerica.html,"array([ -4.17297395, -11.39783631])"
162,http://www.google.com/ads/testimonials/earthlink.html,"array([ -4.61278268, -11.45458991])"
163,http://www.google.com/ads/tips_telecom.html,"array([ -4.32216969, -11.43768069])"
164,http://www.google.com/ads/scvb.html,"array([ -4.28441833, -11.48063887])"
165,http://www.google.com/ads/testimonials/wireddest.html,"array([ -4.54471553, -11.51513358])"
166,http://www.google.com/ads/tips_trav.html,"array([ -4.30179109, -11.616264  ])"
167,http://www.google.com/ads/travelalberta.html,"array([ -4.20640906, -11.67595448])"
168,http://www.google.com/ads/twiddy.html,"array([ -4.35103498, -11.69214049])"
169,http://www.google.com/ads/news/apr03.html,"array([ -3.20241136, -10.94188072])"
170,http://www.google.com/ads/news/dec03.html,"array([ -3.2813846 , -10.89589784])"
171,http://www.google.com/ads/news/june03.html,"array([ -3.14479456, -10.91254212])"
172,http://www.google.com/ads/news/oct03.html,"array([ -3.18946478, -10.86737453])"
173,http://www.google.com/help/faq.html,"array([ -2.62753399, -10.66502431])"
174,http://www.google.com/ads/partselect.html,"array([ -3.12407038, -10.95806316])"
175,http://www.google.com/ads/performics.html,"array([ -3.21554884, -10.88944614])"
176,http://www.google.com/ads/resortres.html,"array([ -3.16018269, -10.90043878])"
177,http://www.google.com/ads/reunion.html,"array([ -3.21502271, -10.98139282])"
178,http://www.google.com/ads/travelocity.html,"array([ -3.22591906, -10.99951504])"
179,http://www.google.com/ads/visiondirect.html,"array([ -3.21134093, -10.92340837])"
180,http://www.google.com/intl/en/privacy.html,"array([ -4.07594665, -10.96765149])"
181,http://www.google.com/ads/metrics_travel.html,"array([ -5.0229833 , -12.10038276])"
182,http://www.google.com/adsense/home,"array([ -3.73742331, -11.20973735])"
183,http://www.google.com/adsense/policies,"array([ -3.18725948, -10.96919665])"
184,http://www.google.com/services/adsense_tour/,"array([ -2.96153537, -10.86380309])"
185,https://www.google.com/support/adsense/,"array([ -3.71738082, -11.10508917])"
186,http://www.google.com/adsense/adreview,"array([ -4.05322582, -11.24386267])"
187,http://www.google.com/adsense/afc-online-overview,"array([ -2.7520816 , -10.81861397])"
188,http://www.google.com/adsense/ws-overview,"array([ -2.50116844, -11.01925832])"
189,http://www.google.com/adsense/askthebuilder,"array([ -3.91176062, -11.10969745])"
190,https://www.google.com/adsense,"array([ -3.27568385, -10.79453998])"
191,http://www.google.com/adsense/assistlogin,"array([ -3.64061236, -11.49224176])"
192,http://www.google.com/adsense/broadband,"array([ -3.95452974, -11.13550295])"
193,http://www.google.com/adsense/camcorderinfo,"array([ -3.88559689, -11.17232169])"
194,http://www.google.com/adsense/faq,"array([ -4.06970562, -11.01334361])"
195,http://www.google.com/support/adsense,"array([ -2.81515806, -10.77364083])"
196,https://www.google.com/adsense/adformats,"array([ -3.93147929, -11.18020134])"
197,https://www.google.com/adsense/policies,"array([ -3.83304698, -11.09367952])"
198,https://www.google.com/adsense/success,"array([ -3.91705678, -11.14822795])"
199,http://www.google.com/adsense/gpsworld,"array([ -3.87979853, -11.13472061])"
200,http://www.google.com/adsense/localized-terms,"array([ -3.83704275, -11.2080272 ])"
201,http://www.google.com/adsense/referrals,"array([ -4.0659981 , -11.09555293])"
202,http://www.google.com/adsense/taxinfo,"array([ -4.09342537, -11.33711604])"
203,http://www.google.com/adsense/medicalcoding,"array([ -3.94838371, -11.21390803])"
204,http://www.google.com/adsense/overview,"array([ -3.60921491, -11.20619961])"
205,http://www.google.com/adsense/pcfreunde,"array([ -3.8783167 , -11.20540527])"
206,http://www.google.com/webmasters/guidelines.html,"array([ -2.73267388, -10.74859181])"
207,http://www.google.com/adsense/premium-login,"array([ -2.76667667, -10.82955218])"
208,http://www.google.com/adsense/pvrblog,"array([ -3.62694802, -11.53409434])"
209,http://www.google.com/adsense/sciencedaily,"array([ -3.67635716, -11.46650642])"
210,http://www.google.com/adsense/seatguru,"array([ -3.69699507, -11.4387056 ])"
211,http://www.google.com/adsense/success,"array([ -2.93786738, -10.89157111])"
212,http://www.google.com/adsense/testmagic,"array([ -3.71375615, -11.4008552 ])"
213,http://www.google.com/adsense/weblogs,"array([ -3.9200014, -11.0772738])"
214,http://www.google.com/adsense/wifinder,"array([ -3.91565305, -11.23084824])"
215,http://www.google.com/adsense/woot,"array([ -3.90314009, -11.05002395])"
216,http://www.google.com/webmasters/sitemaps/login,"array([ -3.78227598, -10.70245488])"
217,http://www.google.com/adsense_dmca.html,"array([ -3.35602945, -11.07166096])"
218,http://www.google.com/adwords_dmca.html,"array([ -3.39830789, -11.02093583])"
219,http://www.google.com/base_dmca.html,"array([ -3.38556633, -11.09698281])"
220,http://www.google.com/blogger_dmca.html,"array([ -3.4103896 , -11.07592035])"
221,http://www.google.com/books_dmca.html,"array([ -3.38049804, -11.02547703])"
222,http://www.google.com/co-op_dmca.html,"array([ -3.39640984, -11.11411855])"
223,http://www.google.com/finance_dmca.html,"array([ -3.41824306, -11.00262806])"
224,http://www.google.com/groups_dmca.html,"array([ -3.78252958, -11.22496278])"
225,http://www.google.com/images_dmca.html,"array([ -3.41501731, -11.11168876])"
226,http://www.google.com/news_dmca.html,"array([ -3.42391443, -11.03551744])"
227,http://www.google.com/notebook_dmca.html,"array([ -3.51827066, -11.07948982])"
228,http://www.google.com/pagecreator_dmca.html,"array([ -3.38821426, -11.04505446])"
229,http://www.google.com/personalized_homepage_dmca.html,"array([ -3.36395245, -11.00495815])"
230,http://www.google.com/picasa_web_dmca.html,"array([ -3.33189646, -11.11741549])"
231,http://www.google.com/video_dmca.html,"array([ -3.44015804, -11.0423949 ])"
232,http://www.google.com/writely_dmca.html,"array([ -3.42517265, -11.09136928])"
233,http://www.google.com/advanced_image_search,"array([ -2.44403804, -10.15480993])"
234,http://www.google.com/bsd,"array([ -3.04341594, -10.73966154])"
235,http://www.google.com/ig/usgov,"array([ -2.90471071, -10.42463291])"
236,http://www.google.com/intl/en/help/customize.html,"array([ -2.53571733, -10.22709064])"
237,http://www.google.com/intl/en/help/refinesearch.html,"array([-2.78934392, -9.99973427])"
238,http://www.google.com/linux,"array([ -3.03334026, -10.75508635])"
239,http://www.google.com/mac,"array([-2.43853291, -9.13052036])"
240,http://www.google.com/microsoft,"array([ -3.05312668, -10.75342716])"
241,http://www.google.com/options/universities.html,"array([-3.83529998, -9.75219556])"
242,http://www.google.com/webhp,"array([ -2.95589558, -10.57399062])"
243,http://www.google.com/advanced_search.html,"array([ -2.57886656, -10.25380575])"
244,http://www.google.com/adwords/videoadsdemo.html,"array([-3.57241713, -9.56136354])"
245,http://www.google.com/select/main,"array([-3.67038631, -8.62248142])"
246,http://www.google.com/select/videoads.html,"array([-3.71253587, -8.57276753])"
247,http://www.google.com/alerts,"array([ -2.88805026, -10.54926727])"
248,http://www.google.com/alerts/faq.html,"array([ -3.61216649, -10.25027435])"
249,https://www.google.com/accounts/ServiceLogin,"array([ -3.28244723, -10.46299013])"
250,http://www.google.com/alerts/signin,"array([ -3.77233049, -10.55476032])"
251,http://www.google.com/intl/en/,"array([ -2.60843015, -10.22872713])"
252,http://www.google.com/analytics/,"array([ -3.58766896, -10.96128007])"
253,http://www.google.com/analytics/conversionuniversity.html,"array([ -4.41752986, -11.14358685])"
254,http://www.google.com/analytics/cu/ac_mini_plus_analytics.html,"array([ -4.38788244, -11.04279602])"
255,http://www.google.com/analytics/cu/dt_aw_targetandtrack_tips.html,"array([ -4.41094756, -10.96524239])"
256,http://www.google.com/analytics/cu/tt_qualitative_brand_lift.html,"array([ -4.24055875, -11.00630276])"
257,http://www.google.com/analytics/feature_fast.html,"array([ -4.37883293, -11.21006844])"
258,http://www.google.com/analytics/features.html,"array([ -4.4469617 , -11.09669693])"
259,http://www.google.com/analytics/sign_up.html,"array([ -4.35803819, -11.13706758])"
260,http://www.google.com/analytics/support_overview.html,"array([ -4.412671  , -11.08830633])"
261,http://www.google.com/analytics/tos.html,"array([ -4.39244558, -11.11431778])"
262,http://www.google.com/press/pressrel/analytics.html,"array([ -3.17382577, -11.00549013])"
263,http://www.google.com/analytics/case_studies.html,"array([ -4.53449768, -11.24385084])"
264,http://www.google.com/analytics/case_study_agency.html,"array([ -4.61711034, -11.21579543])"
265,http://www.google.com/analytics/case_study_builddirect.html,"array([ -4.5442416 , -11.17552743])"
266,http://www.google.com/analytics/case_study_cke.html,"array([ -4.60114119, -11.25444838])"
267,http://www.google.com/analytics/case_study_deckers.html,"array([ -4.56716656, -11.27988412])"
268,http://www.google.com/analytics/case_study_discount_tire.html,"array([ -4.57042774, -11.22373237])"
269,http://www.google.com/analytics/case_study_financial_times.html,"array([ -4.6288898 , -11.17048118])"
270,http://www.google.com/analytics/case_study_remax.html,"array([ -4.58242368, -11.1890282 ])"
271,http://www.google.com/analytics/case_study_roche.html,"array([ -4.59261273, -11.1485762 ])"
272,http://www.google.com/analytics/feature_benefits.html,"array([ -4.51821411, -11.2075862 ])"
273,http://www.google.com/analytics/urchin_software.html,"array([ -4.48684178, -11.1804216 ])"
274,http://www.google.com/analytics/conversionuniversity_ac.html,"array([ -4.53104108, -11.01846165])"
275,http://www.google.com/analytics/conversionuniversity_cv.html,"array([ -4.56901089, -11.010052  ])"
276,http://www.google.com/analytics/conversionuniversity_dt.html,"array([ -4.51726983, -10.97484467])"
277,http://www.google.com/analytics/conversionuniversity_tt.html,"array([ -4.49754713, -11.01255954])"
278,http://www.google.com/analytics/cu/ac_monitor_visitor_conversion.html,"array([ -4.59116263, -11.0984997 ])"
279,http://www.google.com/analytics/cu/ac_the_four_parts.html,"array([ -4.55522665, -11.12735495])"
280,http://www.google.com/analytics/cu/ac_two_metrics_for_you.html,"array([ -4.51477573, -11.13795461])"
281,http://www.google.com/analytics/cu/cv_conversion_health.html,"array([ -4.65338515, -11.01512056])"
282,http://www.google.com/analytics/cu/cv_divide_and_conquer.html,"array([ -4.63681072, -11.1030841 ])"
283,http://www.google.com/analytics/cu/cv_increased_roi.html,"array([ -4.62856063, -10.96118676])"
284,http://www.google.com/analytics/cu/cv_objectives_website_copy.html,"array([ -4.65250355, -11.06372563])"
285,http://www.google.com/analytics/cu/cv_preaching_to_converted.html,"array([ -4.61169998, -11.00196809])"
286,http://www.google.com/analytics/cu/cv_tips_for_writing.html,"array([ -4.61459742, -11.05106851])"
287,http://www.google.com/analytics/cu/dt_ads_small_business.html,"array([ -4.56564596, -10.89407539])"
288,http://www.google.com/analytics/cu/dt_adwords_roi.html,"array([ -4.58533869, -10.93580867])"
289,http://www.google.com/analytics/cu/dt_benchmark_sem.html,"array([ -4.52797971, -10.91944314])"
290,http://www.google.com/analytics/cu/dt_sitemaps_for_seo.html,"array([ -4.41062088, -10.85968282])"
291,http://www.google.com/analytics/cu/tt_ab_and_aba.html,"array([ -4.50484979, -11.09462082])"
292,http://www.google.com/analytics/cu/tt_downloads_and_campaigns.html,"array([ -4.54685156, -11.08578765])"
293,http://www.google.com/analytics/cu/tt_email_campaigns.html,"array([ -4.52220175, -11.05654916])"
294,http://www.google.com/analytics/cu/tt_monetizing_non_ec_sites.html,"array([ -4.48555519, -11.05499843])"
295,http://www.google.com/analytics/cu/tt_offline_campaigns.html,"array([ -4.56765539, -11.05182288])"
296,http://www.google.com/analytics/cu/tt_testing_keyword_lps.html,"array([ -4.55646034, -10.97154943])"
297,http://www.google.com/analytics/cu/conversionuniversity.html,"array([ -4.77053024, -11.0338711 ])"
298,http://www.google.com/webmasters/sitemaps/docs/en/sitemap-generator.html,"array([ -3.73849734, -10.60419354])"
299,https://www.google.com/webmasters/sitemaps/,"array([ -3.67352113, -10.31785156])"
300,http://www.google.com/analytics/feature_adwords.html,"array([ -4.47754815, -11.30130591])"
301,http://www.google.com/analytics/feature_avs.html,"array([ -4.4293901 , -11.30480162])"
302,http://www.google.com/analytics/feature_ecommerce.html,"array([ -4.5022687, -11.3347495])"
303,http://www.google.com/analytics/feature_exec_summaries.html,"array([ -4.50574315, -11.27081919])"
304,http://www.google.com/analytics/feature_funnel.html,"array([ -4.45852602, -11.33658733])"
305,http://www.google.com/analytics/feature_geotargeting.html,"array([ -4.48400728, -11.22993645])"
306,http://www.google.com/analytics/feature_kcc.html,"array([ -4.44845356, -11.21605863])"
307,http://www.google.com/analytics/feature_options.html,"array([ -4.46358434, -11.26345715])"
308,http://www.google.com/analytics/feature_overlay.html,"array([ -4.42843721, -11.2595653 ])"
309,http://www.google.com/analytics/feature_trends.html,"array([ -4.53163129, -11.30236111])"
310,http://www.google.com/analytics/sp_case_studies.html,"array([ -4.47092203, -10.94237514])"
311,http://www.google.com/analytics/sp_case_study_epikone.html,"array([ -4.45777692, -10.98424013])"
312,http://www.google.com/analytics/sp_case_study_speednames.html,"array([ -4.44100458, -11.02417517])"
313,http://www.google.com/analytics/support_partner_provided.html,"array([ -4.46113465, -11.12885831])"
314,http://www.google.com/support/analytics,"array([ -4.02492452, -10.78031729])"
315,http://www.google.com/support/urchin45,"array([ -3.69071921, -11.15177199])"
316,http://www.google.com/analytics/tos_en-US.html,"array([ -5.1868968 , -11.35766149])"
317,http://www.google.com/analytics/urchin_downloads.html,"array([ -4.36474105, -11.26060489])"
318,http://www.google.com/apis/,"array([ -3.03815958, -10.62326221])"
319,http://www.google.com/apis.html,"array([ -4.27714149, -10.38030892])"
320,http://www.google.com/apis/adwords/,"array([ -3.91583252, -11.59348834])"
321,http://www.google.com/apis/apis/ajaxsearch/,"array([ -4.15432011, -10.09517735])"
322,http://www.google.com/apis/apis/gadgets/,"array([ -4.32702894, -10.45648791])"
323,http://www.google.com/apis/checkout/,"array([-4.09123072, -9.99029603])"
324,http://www.google.com/apis/gdata/,"array([ -4.23793725, -10.20796661])"
325,http://www.google.com/apis/maps/,"array([ -3.63039292, -11.30902726])"
326,http://www.google.com/apis/webtoolkit/,"array([ -4.15021416, -10.14871364])"
327,http://www.google.com/eventcalendar.html,"array([ -4.316379  , -10.34721947])"
328,http://www.google.com/faq.html,"array([ -4.27644197, -10.43680531])"
329,http://www.google.com/hosting/,"array([ -4.19853488, -10.16100336])"
330,http://www.google.com/organizations.html,"array([ -4.32342301, -10.40146603])"
331,http://www.google.com/patches.html,"array([ -4.27448976, -10.31146169])"
332,http://www.google.com/projects.html,"array([ -4.1218033 , -10.04358425])"
333,http://www.google.com/soc/,"array([ -4.27523164, -10.25014345])"
334,http://www.google.com/talk/developer.html,"array([ -3.74664105, -10.42782784])"
335,http://www.google.com/tools/toolbar/buttons/apis/,"array([ -4.07714363, -10.09996494])"
336,http://www.google.com/webmasters/sitemaps/docs/en/about.html,"array([ -3.70118378, -10.58776288])"
337,http://www.google.com/webmasters/sitemaps/docs/en/protocol.html,"array([ -3.63018501, -10.61539374])"
338,http://www.google.com/apis/adwords/developer/,"array([ -3.87194186, -11.66429958])"
339,http://www.google.com/apis/adwords/java.html,"array([ -4.25168094, -11.89879561])"
